,date,utm_source,users
612,2020-03-28,instagram_ads,160
613,2020-03-28,referal,68
614,2020-03-28,vk_ads,180
615,2020-03-28,yandex-direct,200
616,2020-03-29,-,239
617,2020-03-29,facebook_ads,109
618,2020-03-29,google_ads,197
619,2020-03-29,instagram_ads,132
620,2020-03-29,referal,69
621,2020-03-29,vk_ads,152
622,2020-03-29,yandex-direct,219
623,2020-03-30,-,215
624,2020-03-30,facebook_ads,94
625,2020-03-30,google_ads,148
626,2020-03-30,instagram_ads,151
627,2020-03-30,referal,63
628,2020-03-30,vk_ads,138
629,2020-03-30,yandex-direct,185
630,2020-03-31,-,221
631,2020-03-31,facebook_ads,72
632,2020-03-31,google_ads,162
633,2020-03-31,instagram_ads,118
634,2020-03-31,referal,62
635,2020-03-31,vk_ads,151
636,2020-03-31,yandex-direct,182
